id,question,subject,difficulty,marks,year,units
558,"What is a basic block in the context of a compiler? Describe the process of constructing basic blocks from a given intermediate code",Compiler Design,Medium,06,Third,Unit 5
559,"Describe the algorithm for calculating next-use information for a sequence of intermediate code.",Compiler Design,Hard,06,Third,Unit 5
560,"What is instruction scheduling in the context of code generation? Why is it important for improving the performance of the generated code?",Compiler Design,Easy,06,Third,Unit 5
561,"Discuss the advantages of using DAGs for representing basic blocks in compiler design. How do DAGs help in optimization and code generation?",Compiler Design,Medium,06,Third,Unit 5
562,"What are the common strategies for register allocation, and how do they affect the efficiency of the generated code?",Compiler Design,Hard,06,Third,Unit 5
563,"List the issues in designing code generator. Generate code for the following three-address statements assuming all variables are stored in memory locations.
    x = b * c
    y = a + x",Compiler Design,Medium,06,Third,Unit 5
564,"Define the DAG representation of basic blocks.",Compiler Design,Easy,06,Third,Unit 5
565,"Explain the various storage allocation strategies?",Compiler Design,Medium,06,Third,Unit 5
567,"What is syntax directed translation in compiler design?",Compiler Design,Hard,06,Third,Unit 5
568,"Explain the concept of runtime environments in a compiler. Discuss the stack allocation and heap allocation strategies used to manage memory during program execution.",Compiler Design,Easy,06,Third,Unit 5
569,"Discuss the concept of code generation for control flow statements in a compiler.",Compiler Design,Medium,06,Third,Unit 5
570,"Explain how the assignment statement “position = initial + rate * 60” is grouped into the lexemes and mapped into the tokens passed on the syntax analyzer.",Compiler Design,Hard,06,Third,Unit 5

571,"Define machine learning. Explain its common areas of applications.",Machine Learning,Easy,06,Third,Unit 1
572,"Describe working of decision tree with suitable example.",Machine Learning,Medium,06,Third,Unit 1
573,"State the purpose of confusion metrics. Elaborate various terms associated with it.",Machine Learning,Hard,06,Third,Unit 1
574,"Difference between Supervised and Unsupervised Machine Learning.",Machine Learning,Easy,06,Third,Unit 1
575,"Explain the Types of Machine Learning.",Machine Learning,Easy,06,Third,Unit 1
576,"Explain the Unsupervised Machine Learning.",Machine Learning,Easy,06,Third,Unit 1
577,"Explain the Supervised Machine Learning.",Machine Learning,Easy,06,Third,Unit 1


578,"State Bayestheorem. Demonstrateit with suitable example.",Machine Learning,Easy,06,Third,Unit 2
579,"With respect to SVM explain the terms: 1. Hyperplane 2. Maximum Margin Hyperplane (MMH) 3. Support Vector.",Machine Learning,Medium,06,Third,Unit 2
580,"Differentiate between linear and non-linear SVM.",Machine Learning,Hard,06,Third,Unit 2
581,"How Does SVM Works?",Machine Learning,Easy,06,Third,Unit 2
582,"What Logistic Regression? Difference between Logistic Regression and Linear Regression.",Machine Learning,Medium,06,Third,Unit 2


583,"Compare between Biological Neural Network (BNN) and Artificial Neural Network (ANN).",Machine Learning,Easy,06,Third,Unit 3
584,"Explain reinforcement learning in Artificial Neural Network (ANN).",Machine Learning,Medium,06,Third,Unit 3
585,"Describe feedforward and feedback neural network with proper diagram.",Machine Learning,Hard,06,Third,Unit 3
586,"Explain the concept of perceptron with neat diagram.",Machine Learning,Easy,06,Third,Unit 3
587,"What is Back propagation?",Machine Learning,Medium,06,Third,Unit 3
588,"Explain how to work Multilayer Network.",Machine Learning,Hard,06,Third,Unit 3


589,"Explain concept of VC dimensions with example.",Machine Learning,Easy,06,Third,Unit 4
590,"Discuss Ensembled Learning. State applications of ensembled learning. ",Machine Learning,Medium,06,Third,Unit 4
591,"Describe terms: Bagging, Boosting and Stacking.",Machine Learning,Hard,06,Third,Unit 4
592,"What PAC Learning Model? Explain the sample Complexity for Finite hypothises spaces",Machine Learning,Easy,06,Third,Unit 4
593,"Define and Explain "Shattering a set of instances with suitable Example.",Machine Learning,Medium,06,Third,Unit 4

594,"Explain clustering with example. State need of clustering.",Machine Learning,Easy,06,Third,Unit 5
595,"State the working of K-means clustering algorithm.",Machine Learning,Medium,06,Third,Unit 5
596,"Differentiate between Agglomerative and Divisive hierarchical clustering.",Machine Learning,Hard,06,Third,Unit 5


597,"What is Competence? Explain the concept of communicative competence.",Business Communication,Easy,06,Third,Unit 1
598,"Explain how different process of business communication has certain other characteristics.",Business Communication,Medium,06,Third,Unit 1
599,"Explain different types of elements in business communication.",Business Communication,Hard,06,Third,Unit 1
600,"Explain the characteristics of Business Communication in detail.",Business Communication,Easy,06,Third,Unit 1
601,"Define Communicative Competence and state characteristics of competent communicator.",Business Communication,Medium,06,Third,Unit 1
602,"What is Business Communication? Discuss the process of communication in detail.",Business Communication,Easy,06,Third,Unit 1
603,"Describe the characteristics of competent communicators.",Business Communication,Medium,06,Third,Unit 1
604,"What are the main objectives of Business Communication? Explain in brief.",Business Communication,Hard,06,Third,Unit 1
605,"Describe the characteristics of competent communicators.",Business Communication,Medium,06,Third,Unit 1


606,"What do you mean by communication? Explain types of communication done in business world.",Business Communication,Easy,06,Third,Unit 2
607,"What is Intercultural communication? What is the importance’s of intercultural communication.",Business Communication,Medium,06,Third,Unit 2
608,"Write a short note on Thoughts & Speech.",Business Communication,Easy,06,Third,Unit 2
609,"Explain the importance of Nonverbal communication in Business communication.",Business Communication,Easy,06,Third,Unit 2
610,"What is intercultural Communication? State its importance in business communication.",Business Communication,Medium,06,Third,Unit 2
611,"Explain the relationship between thought and speech.",Business Communication,Easy,06,Third,Unit 2
612,"What are the importance of non-verbal communication? Explain in brief.",Business Communication,Easy,06,Third,Unit 2
613,"Define Culture. Discuss in brief the barriers for intercultural communication.",Business Communication,Medium,06,Third,Unit 2
614,"What is translation and explain in brief the problems that may need to face translation process?",Business Communication,Hard,06,Third,Unit 2


615,"What do you mean by Barriers? Explain different types of barriers in communication.",Business Communication,Easy,06,Third,Unit 3
616,"Explain different effective listening techniques used in business communication.",Business Communication,Medium,06,Third,Unit 3
617,"Explain different communication rules adapted in Business world?",Business Communication,Hard,06,Third,Unit 3
618,"Explain the types of barriers of communication in detail.",Business Communication,Easy,06,Third,Unit 3
619,"Comment how listening skill proves to be beneficial in business communication.",Business Communication,Medium,06,Third,Unit 3
620,"Explain the types of communication style.",Business Communication,Hard,06,Third,Unit 3
621,"What do you mean by Barriers to Communication? Discuss the various steps to overcome the barriers to communication.",Business Communication,Easy,06,Third,Unit 3
622,"Define listening. Differentiate listening with hearing.",Business Communication,Medium,06,Third,Unit 3
623,"Describe various communication styles.",Business Communication,Hard,06,Third,Unit 3


624,"Explain how Interpersonal Communication is beneficial in Business.",Business Communication,Easy,06,Third,Unit 4
625,"What is Organization? Explain the concept of Organizational Communication.",Business Communication,Medium,06,Third,Unit 4
626,"Explain how Relational Communication is done in the field of Business.",Business Communication,Hard,06,Third,Unit 4
627,"Write a detail note on Organizational Communication.",Business Communication,Easy,06,Third,Unit 4
628,"Comment how collaboration plays an important role in business communication.Business Communication,Medium,06,Third,Unit 4
629,"State the difference between Team and Group and explain the importance of team in Business communication.",Business Communication,Hard,06,Third,Unit 4
630,"What is an Organization? Discuss various types of organizational Communication.",Business Communication,Easy,06,Third,Unit 4
631,"Explain how Interpersonal Communication is beneficial in Business.",Business Communication,Medium,06,Third,Unit 4
632,"What is persuasive communication? Explain various skills of persuasive communication.",Business Communication,Hard,06,Third,Unit 4

633,"What is persuasive communication? Explain how different types of persuasive communication are done in Business.",Business Communication,Easy,06,Third,Unit 5
634,"What is leadership? Explain the different characteristics and importance of leadership.",Business Communication,Medium,06,Third,Unit 5
635,"What is Ethics? Explain different types of Ethics in Business Communication.",Business Communication,Hard,06,Third,Unit 5
636,"Explain the importance of negotiation in conflict management.",Business Communication,Easy,06,Third,Unit 5
637,"Explain the types Leader in detail.",Business Communication,Medium,06,Third,Unit 5
638,"Write a note on importance of technology in international business communication.",Business Communication,Easy,06,Third,Unit 5
639,"Differentiate Leadership Vs Management",Business Communication,Easy,06,Third,Unit 5
640,"What is Ethics? Explain different principles of Ethical Business Communication",Business Communication,Medium,06,Third,Unit 5
641,"What is Crisis Communication? How do you write crisis communication plan?",Business Communication,Hard,06,Third,Unit 5


642,"Why would you choose a database system instead of simple storing data in file processing system? Compare file processing system and DBMS.",DBMS,Easy,06,Third,Unit 1
643,"Define an Entity and Attribute. Explain the different types of attributes that occur in an ER diagram model, with an example.",DBMS,Medium,06,Third,Unit 1
644,"Draw an E-R diagram of Banking system taking into account at least five entities, indicate all keys, constraints and assumptions that are made.",DBMS,Hard,06,Third,Unit 1
645,"Illustrate the database characteristics. How they are different from File systems.",DBMS,Easy,06,Third,Unit 1
646,"Illustrate about integrity and key constraints with suitable examples?",DBMS,Medium,06,Third,Unit 1
647,"Explain the importance of Null values in Relational Model.",DBMS,Easy,06,Third,Unit 1
648,"Draw and explain the detailed system architecture of DBMS.",DBMS,Easy,06,Third,Unit 1
649,"Explain in detail about various key constraints used in database system.",DBMS,Medium,06,Third,Unit 1
650,"Discuss the main characteristics of the database approach and specify how it differs from traditional file system?",DBMS,Hard,06,Third,Unit 1
651,"We develop database applications directly on top of file systems. But some problems arise because of this, Discuss those problems.",DBMS,Hard,06,Third,Unit 1
652,"Explain two tier and three tier architectures of DBMS with schematic diagram and mention at least 1 example of each.",DBMS,Easy,06,Third,Unit 1
653,"Draw the symbols of ER Diagram. Draw ER Diagram for Library Management System.",DBMS,Medium,06,Third,Unit 1


654,"Define and differentiate the following relational algebra operators with suitable example:(i) Cartesian product (ii) Natural join",DBMS,Easy,06,Third,Unit 2
655,"Consider the following relational schema.
     Suppliers(sid, sname, address)
     Parts(pid, pname, address)
     Catalog(sid, pid, cost)
    (i) Write relational algebra query to find the names of suppliers who supply some red part
    (ii) Write relational algebra query to find the sid of suppliers who supply some red or green parts",DBMS,Medium,06,Third,Unit 2
656,"Consider the following employee database. Give expression in tuple relational calculus for each of the following queries.
     employee(employee_name,street,city)
     works(employee_name,company_name,salary)
     company(company_name,city)
     manages(employee_name,manager_name)
    (i)Find the names of all employees who work for First Bank Corporation.
    (ii)Find the names and cities of residence of all employees who work for First Bank Corporation
    (iii)Find all employees who live in the same city as that in which the company for which the work is located.",DBMS,Hard,06,Third,Unit 2
657,"Explain in detail, the form of a basic SQL query with a suitable example.",DBMS,Easy,06,Third,Unit 2
658,"List out various SET comparison operator in SQL and also write about its use in writing SQL queries.",DBMS,Medium,06,Third,Unit 2
659,"Write a short notes on
   i) Foreign Key ii) Relation state iii) Database schema.",DBMS,Medium,06,Third,Unit 2
660,"Write the SQL syntax for the following with example: 1)SELECT 2) ALTER 3)UPDATE",DBMS,Easy,06,Third,Unit 2
661,"What is Relational algebra? Explain basic operations along with symbols of Relational Algebra.",DBMS,Easy,06,Third,Unit 2
662,"Write Relational Algebra Queries for following.
     Note: Consider Relational Table - Account( Acno, AcName, Br_name,Amount).
   a) To display all tuples from Accounts table.
   b) To display Acno, AcName from accounts.
   c) To display the tuples for the account whose amount>25000 and Br_name=”Dharashiv)
   d) To display Acno, AcName, Amount From Account where the amount>50000",DBMS,Hard,06,Third,Unit 2
663,"Explain Equijoin, left join and right join with suitable example and write proper relational algebraic query for each of them.",DBMS,Easy,06,Third,Unit 2

664,"Consider the following schema and solve following queries using SQL.
    employee (emp_no, name, skill ,pay_rate)
    position (posting_no, skill)
    duty-allocation (posting_no, emp_no, day, shift)

   (i) Get duty allocation details for emp_no 123461 for the month of april1986.
   (ii) Get employees whose rate of pay is more than or equal to the rate of payof employee ‘XYZ’.
   (iii) Get the names and pay rates of employees with emp_no less than 123460 whose rate of pay is more than the rate of payoff atleast one employee with emp_no greater than or equal to 123460.",DBMS,Hard,06,Third,Unit 3
665,"Consider the following relational schema.
     Weather (city, temperature, humidity, condition)
     Location (city, country)
    Write the following queries in SQL:
   (i) Find all the tuples having temperature greater than that of Paris.
   (ii) Find the names of those cities with temperature and condition whose condition is neither Sunny nor Cloudy but temperature must be greater than
   (iii) Find all the cities with temperature, condition and humidity, whose humidity is in the range of 63 to 79.",DBMS,Hard,06,Third,Unit 3
666,"What is view? What are its advantages? Explain views in SQL with suitable example.",DBMS,Medium,06,Third,Unit 3
667,"Write an SQL query for the following:
    a)To create a table of Hospital database with minimum 4 fields
    b) To insert two records
    c) To add new field
    d)To display all records",DBMS,Medium,06,Third,Unit 3
668,"What are JOINS? Explain INNER JOIN and OUTER JOIN.",DBMS,Easy,06,Third,Unit 3
669,"Explain different types of trigger.",DBMS,Easy,06,Third,Unit 3
670,"Mention different SQL languages. Explain their purpose with suitable SQL commands.",DBMS,Easy,06,Third,Unit 3
671,"Write the SQL Queries for the following. 
   a) Creating, Using, showing and deleting databases.
   b) To create BOOK table with Bkid, Title, Author, branch, cost and date of publishing. (Assume proper data type for each column).
   c) Write query to insert 2 valid rows of values into the BOOK table.
   d) Write query to increase the length of Title and Author.
   e) Write query to list books with cost less than 100.
   f) Write query to list all books with title 'RDBMS'.",DBMS,Medium,06,Third,Unit 3
   
672,"What is Normalization? Explain the importance of normalization.What is the criteria for good relation design?",DBMS,Easy,06,Third,Unit 4
673,"Explain BCNF with suitable example and distinguish between BCNF and 3NF.
    Is relation R(student_no, course_no,instr_no) with F = { {student_no, course_no}  instr_no, instr_no course_no}
    in BCNF and 3NF? Justify your answer.",DBMS,Hard,06,Third,Unit 4
674,"Consider the relation schema R=(A,B,C,G,H,I) and Set of functional de-pendencies:
    A → B
    A → C
    CG → H
    CG → I
    B → H
   Compute (AG)+.Is it candidate key? Justify your answer.",DBMS,Hard,06,Third,Unit 4
675,"State BCNF. How does it differ from 3NF?",DBMS,Easy,06,Third,Unit 4
676,"Explain insertion, deletion and modification anomalies with suitable examples.",DBMS,Medium,06,Third,Unit 4
677,"State BCNF. How does it differ from 3NF? ",DBMS,Easy,06,Third,Unit 4
678,"Explain about dynamic multilevel indexing using B+ trees.",DBMS,Hard,06,Third,Unit 4
679,"Define Multi-valued dependency. Explain the Fourth normal form with an example.",DBMS,Medium,06,Third,Unit 4
680,"What is normalization? Why one need to normalize the database tables? ",DBMS,Easy,06,Third,Unit 4
681,"Explain 1st, 2nd and 3rd normal form with the help of suitable example.",DBMS,Medium,06,Third,Unit 4
682,"Why we need to organize database files? Mention the type of organisations, and explain any one with suitable example.",DBMS,Hard,06,Third,Unit 4

683,"Explain ACID properties in detail.",DBMS,Easy,06,Third,Unit 5
684,"What are ordered indices? Explain with suitable example. Distinguish between dense index and sparse index.",DBMS,Medium,06,Third,Unit 5
685,"Construct a B+-tree for the following set of key values:
    (2, 3, 5, 7, 11, 17, 19, 23, 29, 31)
    Assume that the tree is initially empty and values are added in ascending order. Construct B+-trees for four pointers that will fit in one node",DBMS,Medium,06,Third,Unit 5
686,"Explain in detail about internal hashing Techniques.",DBMS,Easy,06,Third,Unit 5
687,"Discuss in detail about cluster and Multilevel indexes.",DBMS,Medium,06,Third,Unit 5
688,"Explain Concurrency control with locking methods.",DBMS,Hard,06,Third,Unit 5
689,"Explain in detail about timestamp based concurrency control techniques.",DBMS,Medium,06,Third,Unit 5
890,"Explain ACID properties of a transaction.",DBMS,Easy,06,Third,Unit 5
891,"Explain how Concurrency control can be achieved with locking methods?",DBMS,Hard,06,Third,Unit 5
892,"Define Transaction and their properties with suitable example.",DBMS,Easy,06,Third,Unit 5
893,"Define serial and non-serial schedules. Explain serilisabilty with suitable example.",DBMS,Medium,06,Third,Unit 5
894,"Explain the need of concurrency control. Mention the concurrency control methods. Explain any one with suitable example.",DBMS,Hard,06,Third,Unit 5


895,"Construct a Deterministic Finite Automaton for the set of string over {a, b} such that length of the string |w|=2.",Theory Of Computation,Mediun,06,Third,Unit 1
896,"State and explain applications of Regular Expressions.",Theory Of Computation,Easy,06,Third,Unit 1
897,"Design an NFA with ∑ = {0, 1} accepts all string ending with 01.",Theory Of Computation,Hard,06,Third,Unit 1
898,"Explain in brief FSM Properties and Limitations? Write Applications of FSM?",Theory Of Computation,Easy,06,Third,Unit 1
899,"Construct Mealy Machine for the given Moore Machine? 
    Present   state        Output
          a=0     a=1

     →q1      q1      q2      0
     q2       q1      q3      0
     q3       q1      q3      1 ",Theory Of Computation,Medium,06,Third,Unit 1
900,"Design a FSM to check whether a given decimal number is divisible by 5?",Theory Of Computation,Hard,06,Third,Unit 1
901,"Design Non deterministic Finite Automaton to accept all strings over alphabet {a, b} ending with abab.",Theory Of Computation,Easy,06,Third,Unit 1
902,"Construct Deterministic Finite Automaton for regular expression (a+b)*aba",Theory Of Computation,Medium,06,Third,Unit 1 
903,"Find the string set for following regular expressions. (i)00* (ii)a*b* (iii) (0+1)*",Theory Of Computation,Easy,06,Third,Unit 1
904,"What are the elements of Deterministic Finite Automaton? How it is represented?",Theory Of Computation,Medium,06,Third,Unit 1
905,"Design Non Deterministic Finite Automaton that accepts set of all strings over {0,1} that start with 0 or 1 and end with 01 or 10.",Theory Of Computation,Hard,06,Third,Unit 1

906,"Distinguish between Moore machine and Mealy machine .",Theory Of Computation,Hard,06,Third,Unit 2
907,"Write a regular expression over alphabet ∑ = {0, 1} for following .
   (i) begins with 1, ends with 1 (ii) ends with 00 (iii) contains at least three consecutive 1s",Theory Of Computation,Easy,06,Third,Unit 2
908,"Eliminate NULL production from the grammar G given below:
    a. S→ a / Xb / aYa
    b. X→ Y / ^
    c. Y→ b / X
   Write the productions after elimination.",Theory Of Computation,Medium,06,Third,Unit 2
909,"Check whether the given grammar is ambiguous or not-
    a. S → a / abSb / aAb
    b. A → bS / aAAb",Theory Of Computation,Hard,06,Third,Unit 2
910,"Distinguish between regular language and context free language.",Theory Of Computation,Medium,06,Third,Unit 2
911,"Design context free grammar for following language (ab)n where n>=1 and anbn where n>=0.",Theory Of Computation,Hard,06,Third,Unit 2
912,"State some applications of regular expressions.",Theory Of Computation,Easy,06,Third,Unit 2
913,"Consider the following production rules.
   S aAB
   AbBb
   B A|ε
  Obtain leftmost and rightmost derivation for string 'abbbb'",Theory Of Computation,Hard,06,Third,Unit 2


914,"Write the steps for grammar reduction. Eliminate Unit Productions from the following grammar.
    S -> Aa|B|c
    B -> A|bb
    A -> a|bc|B",Theory Of Computation,Medium,06,Third,Unit 3
915,"Explain Chomsky classification of grammar.",Theory Of Computation,Easy,06,Third,Unit 3
916,"When does context free grammar is said to be in Chomsky Normal Form(CNF)? Write steps to convert context free grammar into CNF.",Theory Of Computation,Hard,06,Third,Unit 3
917,"Consider a left linear grammar as given below −
    a. S→ Sa|Abc
    b. A→ Sa|Ab|a
   Convert left linear grammar to right linear grammar.",Theory Of Computation,Easy,06,Third,Unit 3
918,"Convert the given to context free grammar to CNF forms
    a. S → ASB
    b. A → aAS|a|ε
    c. B → SbS|A|bb",Theory Of Computation,Medium,06,Third,Unit 3
919,"Derive a derivation tree for the string aabbabba for the given context freegrammar (CFG) −
    a. S->aB|bA
    b. A->a|aS|bAA
    c. B->b|bS|aBB",Theory Of Computation,Hard,06,Third,Unit 3
920,"State some applications of Context Free Grammar.",Theory Of Computation,Easy,06,Third,Unit 3
921,"Explain the following.
    (i) Type 0 grammar
   (ii) Type 1 grammar
   (iii) Type 2 grammar
   (iv) Type 3 grammar",Theory Of Computation,Medium,06,Third,Unit 3
922,"Find the reduced grammar equivalent to the following grammar where productions are :
    S AC | SB
    A bASC | a
    B  aSB | bbc
    C BC |ad",Theory Of Computation,Hard,06,Third,Unit 3
923,"Show that the given grammar is ambiguous grammar.
   E E+E
   EE*E
   E  a",Theory Of Computation,Easy,06,Third,Unit 3
924,"Find Context Free Grammar without ε- productions equivalent to the following grammar .
    SABaC
    ABC
    Bb | ε
    C D| ε
    D  d",Theory Of Computation,Hard,06,Third,Unit 3

925,"Write the productions rule of Context free grammar for following regular expressions. (i) 0* (ii) (a+b)* (iii) (ab)*",Theory Of Computation,Easy,06,Third,Unit 4
926,"What are the different components of Pushdown Automaton? Explain with neat diagram.",Theory Of Computation,Medium,06,Third,Unit 4
927,"Distinguish between Deterministic and Non Deterministic PDA.",Theory Of Computation,Easy,06,Third,Unit 4
928,"Define a PDA & list three important properties of a PDA Machine?",Theory Of Computation,Easy,06,Third,Unit 4
929,"Construct a PDA to check well formedness of parenthesis?",Theory Of Computation,Medium,06,Third,Unit 4
930,"Convert the following grammar to a PDA that accepts the same language.
    a. S → 0S1 | A
    b. A → 1A0 | S | ε",Theory Of Computation,Hard,06,Third,Unit 4
931,"What is Push Down Automaton (PDA)? Explain different components of PDA.",Theory Of Computation,Easy,06,Third,Unit 4
932,"Design PDA to accept language L = (ab)* where na= nb.",Theory Of Computation,Medium,06,Third,Unit 4
933,"Construct PDA for following grammar.
    S aAA
    A aS | bS | a",Theory Of Computation,Hard,06,Third,Unit 4
934,"Reduce the following grammar to Chomsky Normal Form(CNF).
   SaAD
   AaB | bAB
   Bb
   Dd",Theory Of Computation,Medium,06,Third,Unit 4
935,"Design Push down Automata (PDA) to accept language L=(a,b)* where na= nb.",Theory Of Computation,Hard,06,Third,Unit 4

936,"Design Turing machine that accepts the language of all strings over alphabet ∑ = {a, b} whose second letter is b.",Theory Of Computation,Medium,06,Third,Unit 5
937,"Explain the following (i)Multihead Turing machine (ii)Universal Turing machine (iii) Non Deterministic Turing machine",Theory Of Computation,Easy,06,Third,Unit 5
938,"What is Church Turing Thesis ? Explain.",Theory Of Computation,Hard,06,Third,Unit 5
939,"Design a TM for an equal number of a’s and b’s must follow a.",Theory Of Computation,Medium,06,Third,Unit 5
940,"Design a TM which recognizes palindromes over = {a, b}",Theory Of Computation,Hard,06,Third,Unit 5
941,"Explain ‘Halting Problem of turning machine’ with neat diagrams?",Theory Of Computation,Easy,06,Third,Unit 5
942,"Explain how Turing machine is represented using transition diagram and transition table.",Theory Of Computation,Easy,06,Third,Unit 5
943,"Explain concept infinite loop in Turing machine with the help of an Example.",Theory Of Computation,Easy,06,Third,Unit 5
944,"Design Turing machine that recognizes the language L of all strings over {a, b} with number of a’s equal to number of b’s.",Theory Of Computation,Hard,06,Third,Unit 5
945,"What are the different components of Turing machine?",Theory Of Computation,Easy,06,Third,Unit 5
946,"What is halt state of Turing machine? Explain Church Turing thesis.",Theory Of Computation,Medium,06,Third,Unit 5
947,"Design Turing machine that erases all non-blank symbols from its tape .",Theory Of Computation,Hard,06,Third,Unit 5


948,"Explain with example, notation used and mathematical pression to describe following terms
     1)Membership 2) Subset 3) Equality of two sets ",Discrete Mathematics,Easy,06,Second,Unit 1
949,"Constructor a truth table for each of these compound propositions and identify type of compound statements
     a. (p ⋀ q) → (p ⋁ q)
     b. (q → ¬ p) ↔ (p ↔ q)",Discrete Mathematics,Medium,06,Second,Unit 1
950,"Test the validity of following statement:
    If there is strike by student, then exam will be postponed.
    Exam was not postponed.
    Therefore, there were no strikes by students ",Discrete Mathematics,Hard,06,Second,Unit 1
951,"Let S(x) be the predicate “x is a student,” F(x) the predicate “x is a faculty member,” and A(x, y) the predicate“ x has asked y a question,” where the domain consists of all people associated with your school. Use quantifiers to express each of these statements.
       I. Lois has asked Professor Michaels a question.
      II. Every student has asked Professor Gross a question.
     III. Every faculty member has either asked Professor Miller a question or been asked a question by Professor Miller.
      IV. Some student has not asked any faculty member a question.
       V. There is a faculty member who has never been asked a question by a student
      VI. There is a faculty member who has asked every other faculty member a question",Discrete Mathematics,Easy,06,Second,Unit 1
953,"Prove that 1 + 2 + 22 + ... + 2n = 2n+1- 1,where n is a nonnegative integer by using mathematical induction",Discrete Mathematics,Medium,06,Second,Unit 1
954,"Among the integers 1 to 1000:
    1) How many of them are not divisible by 3, or by 5, or by 7?
    2) How many are not divisible by 5 and 7 but divisible by 3.",Discrete Mathematics,Hard,06,Second,Unit 1
955,"Let P(x), Q(x), and R(x) be the statements “x is a professor,” “x is ignorant,” and “x is vain,” respectively. Express each of these statements using quantifiers; logical connectives; and P(x), Q(x), and R(x), where the domain consists of all people.
    (a) No professors are ignorant. (b) All ignorant people are vain.
    (c) No professors are vain. (d) Does (c) follows (a) and (b)?",Discrete Mathematics,Easy,06,Second,Unit 1
956,"Show that if n is a positive integer, then 1+2+3+.......+n=n(n+1)/2 by using mathematical induction.",Discrete Mathematics,Medium,06,Second,Unit 1
957,"Use De Morgan’s laws to find the negation of each of the following statements.
    (a) Kwame will take a job in industry or go to graduate school.
    (b) Yoshiko knows Java and calculus.
    (c) James is young and strong.
    (d) Rita will move to Oregon or Washington.",Discrete Mathematics,Hard,06,Second,Unit 1
958,"a) Use the following statements
       p: Mohan is rich
       q: Mohan is happy
      write the following statement in symbolic form
        i) Mohan is rich but unhappy. ii) Mohan is poor but happy. iii) Mohan is neither rich nor happy.
    b) Construct the truth table for the p∨¬( p∧q) statement form.",Discrete Mathematics,Hard,06,Second,Unit 1
959,"a) Write the following statements using quantifier variables and predicate symbols
        i) All birds can fly.
       ii) Some men are genius.
       iii) Each integer is either even or odd.
   b) In survey of 120 people, it was found that 65 read News read magazine, 45 read Times, 42 read Fortune;20 read both Network and Times, 25 read both Network and Fortune, 15 read both Time and Fortune; and 8 read all the three magazine. Find the number of people who read exactly one magazine.",Discrete Mathematics,Medium,06,Second,Unit 1



960,"Let A= {1,2,3,4,6,8,12} and R be the partial order on A defined by aRb if a divides b. Determine the relational matrix for R. Construct directed graph G on A. Draw Hasse diagram of Poset (A, R).",Discrete Mathematics,Easy,06,Second,Unit 2
961,"State Pigeon hole principle. If five colors are used to paint 26 doors show that at least Six doors will have the same door",Discrete Mathematics,Medium,06,Second,Unit 2
962,"Let f(x) =2x+3, g(x) =3x+4, h(x) =4x for x ∈ R, where R is set of real numbers. Find gof, fog, foh and hof.",Discrete Mathematics,Hard,06,Second,Unit 2
963,"Determine whether each of these functions is one-to-one ,onto ,both or not a function Justify your answer
     1) from {a, b, c, d} to itself
       i. f(a) = b, f (b) = a, f (c) = c, f (d) = d
      ii. f (a) = b, f (b) = b, f (c) = d, f (d) = c
     2) from Z to Z
       i. f (n) = n+ 1
      ii. f (n) = n3",Discrete Mathematics,Medium,06,Second,Unit 2

964,"How many permutations of the letters a, b, c, d, e, f, g contain neither the pattern bge nor eaf?",Discrete Mathematics,Medium,06,Second,Unit 2   
965,"Let A={p,q,r}. Show (P(A), subset ) is a poset and draw it’s Hasse diagram.",Discrete Mathematics,Easy,06,Second,Unit 2
966,"Answer these questions for the partial order represented by this Hasse diagram.
    a) Find the maximal elements.
    b) Find the minimal elements.
    c) Is there a greatest element?
    d) Is there a least element?
    e) Find all upper bounds of {a, b, c}.
    f) Find all lower bounds of {f, g, h}.",Discrete Mathematics,Hard,06,Second,Unit 2
967,"Let f(x) = x + 2, g(x) = x – 2, and h(x) = 3x for x ∈ R where R = set of real numbers. Find i) gof ii) fohog iii) foh",Discrete Mathematics,Easy,06,Second,Unit 2
968,"Solve the following homogeneous recurrence relation:
    tn = 4tn-1 – 4tn-2.
    tn = 1, n = 0 and n = 1.",Discrete Mathematics,Medium,06,Second,Unit 2
969,"Explain the pigeonhole principle with example.",Discrete Mathematics,Medium,06,Second,Unit 2
970,"Find how many symbol codes can be formed if the first two symbols are letters and the next three are digits but no symbol is repeated?",Discrete Mathematics,Hard,06,Second,Unit 2
971,"Let A = {1, 2} and B = {a, b, c} Find
     i) A X B
     ii) B X A
     iii) A X A.",Discrete Mathematics,Hard,06,Second,Unit 2
972,"Solve ar = ar-1 – 6ar-2 = - 30 given a0 = 20, and a1 = 5.
    a) Let R be the relation on the set of real numbers such that xR y if and only if x and y are real numbers that differ by less than 1, that is |x − y| < 1. Show that R is not an equivalence relation.
    b) Define composite function. Let f and g be the functions from the set of integers to the set of integers defined by f(x) = 2x + 3 and g(x) = 3x + 2. What is the composition of f and g? What is the composition of g and f ?",Discrete Mathematics,Medium,06,Second,Unit 2


973,"Show that the maximum number of edges in a simple graph having n vertices is n*(n-1)/2.",Discrete Mathematics,Easy,06,Second,Unit 2
974,"Define Euler graph and Hamiltonian graph",Discrete Mathematics,Easy,06,Second,Unit 2
